step,state,transition,probability,map
256,6,1,0.9517574435543363,0.6517340819109905
257,7,-1,0.34473411039754454,0.3067155330597854
258,6,1,0.5724049814315815,0.6517340819109905
259,7,-1,0.06796315298186428,0.3067155330597854
260,6,1,0.5711134852958508,0.6517340819109905
261,7,1,0.9656481217665394,0.9555523089539438
262,0,-1,0.12767981278966523,0.15861622538162168
263,7,1,0.9611483567421286,0.9555523089539438
264,0,0,0.48678933778997036,0.6361657848225597
265,0,0,0.7644937543561015,0.6361657848225597
266,0,0,0.48875460336222076,0.6361657848225597
267,0,0,0.7379707459558973,0.6361657848225597
268,0,-1,0.13454577542860635,0.15861622538162168
269,7,-1,0.31718942620795443,0.3067155330597854
270,6,1,0.4668835661425743,0.6517340819109905
271,7,1,0.9303569344160558,0.9555523089539438
272,0,-1,0.27049579108498834,0.15861622538162168
273,7,-1,0.29119922234130136,0.3067155330597854
274,6,0,0.18951395672715887,0.1693936121412033
275,6,0,0.15221157879648062,0.1693936121412033
276,6,0,0.26995944582103903,0.1693936121412033
277,6,0,0.1414307099158254,0.1693936121412033
278,6,0,0.238872192521961,0.1693936121412033
279,6,0,0.22707420752009067,0.1693936121412033
280,6,1,0.895589134703074,0.6517340819109905
281,7,0,0.6411342157113371,0.7622678420137292
282,7,-1,0.4902356278175477,0.3067155330597854
283,6,0,0.4023798353627104,0.1693936121412033
284,6,-1,0.035477570773949196,0.017659530230212828
285,5,0,0.6256564328007723,0.7874042703127457
286,5,0,0.7561460580298014,0.7874042703127457
287,5,0,0.6133036762333597,0.7874042703127457
288,5,0,0.7566074270968499,0.7874042703127457
289,5,0,0.8119562214663969,0.7874042703127457
290,5,0,0.6980395029217568,0.7874042703127457
291,5,1,0.9569526807719417,0.9786357859459542
292,6,1,0.8746255730181998,0.6517340819109905
293,7,1,0.9782499659880559,0.9555523089539438
294,0,1,0.8220209923378334,0.977549559440938
295,1,1,0.6969694739820651,0.787063010980868
296,2,0,0.30755151985618445,0.4684924734124999
297,2,0,0.2964613835705503,0.4684924734124999
298,2,0,0.31182714571888903,0.4684924734124999
299,2,1,0.8965017437960088,0.9386488830765071
